conc1_unit,u1,u2,u3,u4,n,u1cl,u2cl,u3cl,u4cl,u1num,u2num,u3num,u4num,nas,conc1_info,u1type,u2type,u3type,u4type,conc1_unit_clean,type,convert,multiplier,unit_conv
AI mol/kg,mol,kg,,,8,mol,kg,,,,,,,2,,mol,mass,,,mol/kg,mol/mass,TRUE,0.001,mol/g
uCI/g org,uci,g org,,,8,uci,g,,,,,,,2,,radioactivity,mass,,,uCi/g,radioactivity/mass,TRUE,37000,Bq/g
uCi/kg,uci,kg,,,8,uci,kg,,,,,,,2,,radioactivity,mass,,,uCi/kg,radioactivity/mass,TRUE,37,Bq/g
AI g/500 g,g,500 g,,,8,g,g,,,,500,,,2,,mass,mass,,,g/g,mass/mass,TRUE,0.002,g/g
AI g/6 L,g,6 l,,,8,g,l,,,,6,,,2,,mass,volume,,,g/l,mass/volume,TRUE,166666.666666667,ug/l
AI ml/mi,ml,mi,,,8,ml,mi,,,,,,,2,,volume,time,,,ml/mi,volume/time,FALSE,,
mg/cm2/d,mg,cm2,d,,7,mg,cm2,d,,,,,,1,,mass,area,time,,mg/cm2/d,mass/area/time,FALSE,,
ae lb/gal,lb,gal,,,7,lb,gal,,,,,,,2,ae,mass,volume,,,lb/gal,mass/volume,FALSE,,
cm3/m2,cm3,m2,,,7,cm3,m2,,,,,,,2,,volume,area,,,cm3/m2,volume/area,TRUE,1,ml/m2
mg/50 cm2,mg,50 cm2,,,7,mg,cm2,,,,50,,,2,,mass,area,,,mg/cm2,mass/area,TRUE,0.2,g/m2
g/L soil,g,l,,,7,g,l,,,,,,,2,soil,mass,volume,,,g/l,mass/volume,TRUE,1e+06,ug/l
AI kg/0.4 ha,kg,0.4 ha,,,7,kg,ha,,,,0.4,,,2,,mass,area,,,kg/ha,mass/area,TRUE,0.25,g/m2
ppm/g bdwt,ppm,g,,,7,ppm,g,,,,,,,2,bdwt,fraction,mass,,,ppm/g,fraction/mass,FALSE,,
kBq,kbq,,,,7,kbq,,,,,,,,3,,radioactivity,,,,kBq,radioactivity,FALSE,,
cm2,cm2,,,,7,cm2,,,,,,,,3,,area,,,,cm2,area,FALSE,,
kg/d,kg,d,,,7,kg,d,,,,,,,2,,mass,time,,,kg/d,mass/time,TRUE,1000,g/d
g/lb seed,g,lb seed,,,7,g,lb,,,,,,,2,,mass,mass,,,g/lb,mass/mass,TRUE,0.00220462262184878,g/g
AI oz/40 gal,oz,40 gal,,,7,oz,gal,,,,40,,,2,,volume,volume,,,oz/gal,volume/volume,FALSE,,
ppm/ml,ppm,ml,,,7,ppm,ml,,,,,,,2,,fraction,volume,,,ppm/ml,fraction/volume,FALSE,,
pmol/ml,pmol,ml,,,7,pmol,ml,,,,,,,2,,mol,volume,,,pmol/ml,mol/volume,TRUE,1e-09,mol/l
ml/g soil,ml,g,,,7,ml,g,,,,,,,2,soil,volume,mass,,,ml/g,volume/mass,TRUE,1,ml/g
ug/org/wk,ug,org,wk,,7,ug,org,wk,,,,,,1,,mass,organism,time,,ug/org/wk,mass/organism/time,FALSE,,
ml/100g,ml,100g,,,7,ml,g,,,,100,,,2,,volume,mass,,,ml/g,volume/mass,TRUE,0.01,ml/g
ai oz/bu sd,oz,bu sd,,,7,oz,bu,,,,,,,2,ai ,volume,volume,,,oz/bu,volume/volume,TRUE,0.839225645001415,ml/l
AI g/2000 cm3 soil,g,2000 cm3,,,7,g,cm3,,,,2000,,,2,soil,mass,volume,,,g/cm3,mass/volume,TRUE,5e+05,ug/l
g/100 m2,g,100 m2,,,7,g,m2,,,,100,,,2,,mass,area,,,g/m2,mass/area,TRUE,0.01,g/m2
uCi/org,uci,org,,,7,uci,org,,,,,,,2,,radioactivity,organism,,,uCi/org,radioactivity/organism,FALSE,,
AI ug/100 cm2,ug,100 cm2,,,7,ug,cm2,,,,100,,,2,,mass,area,,,ug/cm2,mass/area,TRUE,1e-04,g/m2
ng/ml blood/d,ng,ml blood,d,,7,ng,ml,d,,,,,,1,,mass,volume,time,,ng/ml/d,mass/volume/time,FALSE,,
nmol/g wet wt,nmol,g,,,7,nmol,g,,,,,,,2,wet,mol,mass,,,nmol/g,mol/mass,TRUE,1e-09,mol/g
mIU/kg bdwt/h,miu,kg ,h,,7,mi,kg,h,,,,,,1,bdwt,time,mass,time,,mi/kg/h,time/mass/time,FALSE,,
mol/kg,mol,kg,,,7,mol,kg,,,,,,,2,,mol,mass,,,mol/kg,mol/mass,TRUE,0.001,mol/g
ug/g om,ug,g om,,,7,ug,g,,,,,,,2,,mass,mass,,,ug/g,mass/mass,TRUE,1e-06,g/g
mg/L 10 mi,mg,l 10 mi,,,7,mg,l,,,,10,,,2,,mass,volume,,,mg/l,mass/volume,TRUE,100,ug/l
mg/mg wet bdwt,mg,mg,,,7,mg,mg,,,,,,,2,wet,mass,mass,,,mg/mg,mass/mass,TRUE,1,g/g
g/1000 ft3,g,1000 ft3,,,7,g,ft3,,,,1000,,,2,,mass,volume,,,g/ft3,mass/volume,TRUE,35.3146667214886,ug/l
ae mg/m2,mg,m2,,,7,mg,m2,,,,,,,2,ae,mass,area,,,mg/m2,mass/area,TRUE,0.001,g/m2
mg/250g bdwt,mg,250g,,,7,mg,g,,,,250,,,2,bdwt,mass,mass,,,mg/g,mass/mass,TRUE,4e-06,g/g
mCi mg,mci mg,,,,7,mci,,,,,,,,3,,radioactivity,,,,mCi,radioactivity,FALSE,,
Ci/L,ci,l,,,6,ci,l,,,,,,,2,,radioactivity,volume,,,Ci/l,radioactivity/volume,TRUE,3.7e+10,Bq/l
pCi/L,pci,l,,,6,ci,l,,,,,,,2,,radioactivity,volume,,,Ci/l,radioactivity/volume,TRUE,3.7e+10,Bq/l
L/1000 bu,l,1000 bu,,,6,l,bu,,,,1000,,,2,,volume,volume,,,l/bu,volume/volume,TRUE,0.0283775933927882,ml/l
ml/100 lb sd,ml,100 lb sd,,,6,ml,lb,,,,100,,,2,,volume,mass,,,ml/lb,volume/mass,TRUE,2.20462262184878e-05,ml/g
AI ug/sd ,ug,sd,,,6,ug,sd,,,,,,,2,,mass,noscience,,,ug/sd,mass/noscience,FALSE,,
