conc1_info,conc1_unit_clean,conv,multiplier,unit_conv,unit_type,result_id,casnr,molecularweight,n,conc1_mean,conc1_unit,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,NOTE
AI ,ml/ha,yes,0.0001,ml/m2,volume/area,2401228,138261413,255.66,222,25,AI ml/ha,0.0025,ml/m2,,,
soil,g/kg,yes,555.555555555556,mg/kg,mass/mass,2385722,129521660,,213,40.9,g/1.8 kg soil,22722.2222222222,mg/kg,,,
,ul/eu,yes,0.001,ml/eu,volume/noscience,1094257,52918635,505.2,206,2.5,ul/eu,0.0025,ml/eu,0.0025,ml/eu,
,nl/l,yes,0.001,ul/l,volume/volume,1155594,7664417,17.031,203,106,nl/L,0.106,ul/l,0.106,ul/l,
,mmol/m3,yes,1E-06,mol/l,mol/volume,98442,779022,192.25,201,0.65,mmol/m3,124.9625,ug/l,,,
,kBq/l,yes,1000,Bq/l,radioactivity/volume,108421,7440075,244.0642,200,3.7,kBq/L,3700,Bq/l,3700,Bq/l,
,ug/ml,yes,10,ug/l,mass/volume,2056459,7487947,271.5,200,7.11,ug/100ml,71.1,ug/l,,,
wet wt diet,ug/g,yes,1,mg/kg,mass/mass,2293538,7782492,78.96,200,26,ug/g wet wt diet,26,mg/kg,26,mg/kg,
AI org,ug/g,yes,1,mg/kg,mass/mass,1109601,11141176,720.7,192,0.05,AI ug/g org,0.05,mg/kg,0.05,mg/kg,
,g/org,no,,,mass/organism,1053449,116063,190.27,192,0.2,g/org,0.2,g/org,,,
,ml/kg,yes,0.001,ml/g,volume/mass,1109320,21564170,238.4,192,3,ml/kg sd,0.003,ml/g,,,
AI ,mg/m2,yes,0.001,g/m2,mass/area,2258209,30560191,183.17,191,525,AI mg/m2,0.525,g/m2,0.525,g/m2,
,oz/ft,no,,,noscience/length,1133290,2921882,350.6,191,8,oz/1000 ft,8,oz/1000 ft,,,
AI ,g/m,yes,0.01,g/cm,mass/length,1121679,13071799,288.4,187,0.56,AI g/m,0.0056,g/cm,0.0056,g/cm,
,l/feddan,no,,,volume/noscience,2371248,7287196,241.36,187,1,L/feddan,1,L/feddan,,,
,ppm,yes,1000,ppb,fraction,2348058,75605,138,186,200,ppm H2O,200000,ppb,,,
,g/l,yes,10000,ug/l,mass/volume,2313263,72490018,301.34,181,25,g/100 L,250000,ug/l,250000,ug/l,
AI ,mg/kg,yes,1,mg/kg,mass/mass,2440326,102676471,259.73,180,100,AI mg/kg food,100,mg/kg,100,mg/kg,
dw soil,ng/g,yes,0.001,mg/kg,mass/mass,2229492,13593038,298.3,179,22.23,ng/g dw soil,0.02223,mg/kg,0.02223,mg/kg,
ae,mg/kg/d,no,1,mg/kg/d,mass/mass/time,1117844,1928434,,176,100,ae mg/kg/d,100,mg/kg/d,100,mg/kg/d,
,mg/m3,yes,1,ug/l,mass/volume,1151301,124389,44.009,174,754,mg/m3,754,ug/l,754,ug/l,
,ul/ml,yes,10,ul/l,volume/volume,2400085,116714466,492.7,173,234.4,ul/100ml,2344,ul/l,,,
,kg/ha/yr,no,,,mass/area/time,1172551,6484522,80.044,172,56,kg/ha/yr,56,kg/ha/yr,,,
AI ,mmol/l,yes,0.001,mol/l,mol/volume,2140566,123331,112.09,171,0.5,AI mM,56045,ug/l,,,to ppb?
bt,g,yes,1000000,ug,mass,2413825,67485294,494.5,167,2,g bt,2000000,ug,2000000,ug,
,ml/ft3,yes,35.3146667214886,ul/l,volume/volume,2391482,106934,187.86,167,0.03,ml/ft3,1.05944000164466,ul/l,,,
AI ,g,yes,1000000,ug,mass,1115457,39148248,351.08,166,0.148,AI g,148000,ug,,,
,lb/gal,no,,,mass/noscience,1194502,1330207,,165,1.6,lb/gal,1.6,lb/gal,,,
,ml/org,no,,,volume/organism,2389080,8015916,,160,0.5,ml/org,0.5,ml/org,,,
wet,ppm,yes,1000,ppb,fraction,2307078,1464422,,160,10,ppm wet wt fd,10000,ppb,,,
